nodes,p,agents,rounds
10,0.01,8,5
10,0.01,8,5
10,0.01,8,5
10,0.01,8,5
10,0.01,8,5
11,0.01,8,5
11,0.01,8,5
11,0.01,8,5
11,0.01,8,5
11,0.01,8,5
12,0.01,9,5
12,0.01,9,5
12,0.01,9,5
12,0.01,9,5
12,0.01,9,5
13,0.01,10,5
13,0.01,10,5
13,0.01,10,5
13,0.01,10,5
13,0.01,10,5
14,0.01,11,5
14,0.01,11,11
14,0.01,11,11
14,0.01,11,11
14,0.01,11,5
15,0.01,12,5
15,0.01,12,5
15,0.01,12,11
15,0.01,12,5
15,0.01,12,5
16,0.01,12,5
16,0.01,12,5
16,0.01,12,5
16,0.01,12,11
16,0.01,12,5
17,0.01,13,5
17,0.01,13,5
17,0.01,13,5
17,0.01,13,5
17,0.01,13,5
18,0.01,14,5
18,0.01,14,5
18,0.01,14,5
18,0.01,14,5
18,0.01,14,5
19,0.01,15,5
19,0.01,15,5
19,0.01,15,5
19,0.01,15,5
19,0.01,15,5
20,0.01,16,5
20,0.01,16,5
20,0.01,16,5
20,0.01,16,5
20,0.01,16,5
21,0.01,16,5
21,0.01,16,5
21,0.01,16,11
21,0.01,16,5
21,0.01,16,5
22,0.01,17,5
22,0.01,17,5
22,0.01,17,5
22,0.01,17,5
22,0.01,17,5
23,0.01,18,29
23,0.01,18,5
23,0.01,18,5
23,0.01,18,5
23,0.01,18,5
24,0.01,19,5
24,0.01,19,5
24,0.01,19,5
24,0.01,19,5
24,0.01,19,5
25,0.01,20,5
25,0.01,20,5
25,0.01,20,5
25,0.01,20,11
25,0.01,20,5
26,0.01,20,11
26,0.01,20,5
26,0.01,20,5
26,0.01,20,5
26,0.01,20,5
27,0.01,21,5
27,0.01,21,5
27,0.01,21,11
27,0.01,21,5
27,0.01,21,5
28,0.01,22,11
28,0.01,22,5
28,0.01,22,5
28,0.01,22,5
28,0.01,22,5
29,0.01,23,5
29,0.01,23,11
29,0.01,23,11
29,0.01,23,5
29,0.01,23,5
30,0.01,24,5
30,0.01,24,17
30,0.01,24,5
30,0.01,24,5
30,0.01,24,5
31,0.01,24,11
31,0.01,24,17
31,0.01,24,5
31,0.01,24,5
31,0.01,24,5
32,0.01,25,5
32,0.01,25,11
32,0.01,25,5
32,0.01,25,5
32,0.01,25,5
33,0.01,26,5
33,0.01,26,23
33,0.01,26,5
33,0.01,26,11
33,0.01,26,11
34,0.01,27,11
34,0.01,27,11
34,0.01,27,17
34,0.01,27,23
34,0.01,27,5
35,0.01,28,11
35,0.01,28,5
35,0.01,28,5
35,0.01,28,11
35,0.01,28,5
36,0.01,28,11
36,0.01,28,5
36,0.01,28,5
36,0.01,28,5
36,0.01,28,5
37,0.01,29,17
37,0.01,29,5
37,0.01,29,5
37,0.01,29,5
37,0.01,29,5
38,0.01,30,11
38,0.01,30,5
38,0.01,30,5
38,0.01,30,5
38,0.01,30,5
39,0.01,31,5
39,0.01,31,11
39,0.01,31,5
39,0.01,31,5
39,0.01,31,5
40,0.01,32,5
40,0.01,32,5
40,0.01,32,11
40,0.01,32,17
40,0.01,32,5
41,0.01,32,11
41,0.01,32,35
41,0.01,32,5
41,0.01,32,5
41,0.01,32,5
42,0.01,33,23
42,0.01,33,11
42,0.01,33,23
42,0.01,33,17
42,0.01,33,5
43,0.01,34,5
43,0.01,34,5
43,0.01,34,5
43,0.01,34,5
43,0.01,34,5
44,0.01,35,17
44,0.01,35,47
44,0.01,35,5
44,0.01,35,5
44,0.01,35,5
45,0.01,36,11
45,0.01,36,41
45,0.01,36,17
45,0.01,36,11
45,0.01,36,5
46,0.01,36,17
46,0.01,36,5
46,0.01,36,5
46,0.01,36,23
46,0.01,36,5
47,0.01,37,5
47,0.01,37,11
47,0.01,37,5
47,0.01,37,5
47,0.01,37,5
48,0.01,38,5
48,0.01,38,5
48,0.01,38,17
48,0.01,38,5
48,0.01,38,11
49,0.01,39,11
49,0.01,39,29
49,0.01,39,5
49,0.01,39,5
49,0.01,39,11
50,0.01,40,5
50,0.01,40,5
50,0.01,40,5
50,0.01,40,17
50,0.01,40,5
51,0.01,40,5
51,0.01,40,5
51,0.01,40,5
51,0.01,40,11
51,0.01,40,23
52,0.01,41,5
52,0.01,41,17
52,0.01,41,11
52,0.01,41,5
52,0.01,41,11
53,0.01,42,17
53,0.01,42,5
53,0.01,42,5
53,0.01,42,5
53,0.01,42,5
54,0.01,43,5
54,0.01,43,5
54,0.01,43,5
54,0.01,43,5
54,0.01,43,5
55,0.01,44,17
55,0.01,44,11
55,0.01,44,5
55,0.01,44,5
55,0.01,44,5
56,0.01,44,5
56,0.01,44,5
56,0.01,44,5
56,0.01,44,5
56,0.01,44,17
57,0.01,45,5
57,0.01,45,11
57,0.01,45,5
57,0.01,45,5
57,0.01,45,5
58,0.01,46,11
58,0.01,46,5
58,0.01,46,5
58,0.01,46,17
58,0.01,46,29
59,0.01,47,17
59,0.01,47,5
59,0.01,47,5
59,0.01,47,5
59,0.01,47,5
60,0.01,48,5
60,0.01,48,35
60,0.01,48,5
60,0.01,48,11
60,0.01,48,5
61,0.01,48,5
61,0.01,48,11
61,0.01,48,5
61,0.01,48,5
61,0.01,48,5
62,0.01,49,35
62,0.01,49,5
62,0.01,49,41
62,0.01,49,11
62,0.01,49,11
63,0.01,50,5
63,0.01,50,41
63,0.01,50,5
63,0.01,50,5
63,0.01,50,5
64,0.01,51,5
64,0.01,51,11
64,0.01,51,5
64,0.01,51,5
64,0.01,51,35
65,0.01,52,53
65,0.01,52,23
65,0.01,52,5
65,0.01,52,5
65,0.01,52,29
66,0.01,52,5
66,0.01,52,5
66,0.01,52,5
66,0.01,52,5
66,0.01,52,5
67,0.01,53,5
67,0.01,53,41
67,0.01,53,17
67,0.01,53,5
67,0.01,53,5
68,0.01,54,23
68,0.01,54,23
68,0.01,54,5
68,0.01,54,5
68,0.01,54,5
69,0.01,55,23
69,0.01,55,5
69,0.01,55,11
69,0.01,55,5
69,0.01,55,41
70,0.01,56,29
70,0.01,56,47
70,0.01,56,5
70,0.01,56,5
70,0.01,56,11
71,0.01,56,41
71,0.01,56,11
71,0.01,56,23
71,0.01,56,5
71,0.01,56,5
72,0.01,57,5
72,0.01,57,5
72,0.01,57,5
72,0.01,57,5
72,0.01,57,17
73,0.01,58,5
73,0.01,58,5
73,0.01,58,5
73,0.01,58,17
73,0.01,58,5
74,0.01,59,5
74,0.01,59,131
74,0.01,59,59
74,0.01,59,11
74,0.01,59,71
75,0.01,60,5
75,0.01,60,5
75,0.01,60,5
75,0.01,60,5
75,0.01,60,5
76,0.01,60,5
76,0.01,60,35
76,0.01,60,5
76,0.01,60,11
76,0.01,60,47
77,0.01,61,5
77,0.01,61,11
77,0.01,61,5
77,0.01,61,17
77,0.01,61,11
78,0.01,62,11
78,0.01,62,11
78,0.01,62,5
78,0.01,62,5
78,0.01,62,77
79,0.01,63,77
79,0.01,63,5
79,0.01,63,11
79,0.01,63,5
79,0.01,63,5
80,0.01,64,17
80,0.01,64,17
80,0.01,64,17
80,0.01,64,11
80,0.01,64,11
81,0.01,64,149
81,0.01,64,11
81,0.01,64,167
81,0.01,64,5
81,0.01,64,47
82,0.01,65,35
82,0.01,65,35
82,0.01,65,35
82,0.01,65,5
82,0.01,65,23
83,0.01,66,23
83,0.01,66,5
83,0.01,66,5
83,0.01,66,17
83,0.01,66,5
84,0.01,67,65
84,0.01,67,5
84,0.01,67,5
84,0.01,67,5
84,0.01,67,47
85,0.01,68,5
85,0.01,68,11
85,0.01,68,5
85,0.01,68,23
85,0.01,68,47
86,0.01,68,5
86,0.01,68,11
86,0.01,68,5
86,0.01,68,125
86,0.01,68,137
87,0.01,69,5
87,0.01,69,125
87,0.01,69,5
87,0.01,69,5
87,0.01,69,5
88,0.01,70,17
88,0.01,70,5
88,0.01,70,35
88,0.01,70,17
88,0.01,70,11
89,0.01,71,71
89,0.01,71,161
89,0.01,71,41
89,0.01,71,11
89,0.01,71,77
90,0.01,72,83
90,0.01,72,17
90,0.01,72,11
90,0.01,72,5
90,0.01,72,173
91,0.01,72,131
91,0.01,72,5
91,0.01,72,53
91,0.01,72,53
91,0.01,72,35
92,0.01,73,5
92,0.01,73,35
92,0.01,73,5
92,0.01,73,23
92,0.01,73,5
93,0.01,74,5
93,0.01,74,5
93,0.01,74,53
93,0.01,74,41
93,0.01,74,5
94,0.01,75,17
94,0.01,75,23
94,0.01,75,17
94,0.01,75,5
94,0.01,75,155
95,0.01,76,11
95,0.01,76,5
95,0.01,76,29
95,0.01,76,5
95,0.01,76,179
96,0.01,76,5
96,0.01,76,11
96,0.01,76,5
96,0.01,76,11
96,0.01,76,5
97,0.01,77,35
97,0.01,77,5
97,0.01,77,5
97,0.01,77,11
97,0.01,77,35
98,0.01,78,107
98,0.01,78,5
98,0.01,78,143
98,0.01,78,23
98,0.01,78,11
99,0.01,79,11
99,0.01,79,5
99,0.01,79,11
99,0.01,79,5
99,0.01,79,11
100,0.01,80,11
100,0.01,80,53
100,0.01,80,29
100,0.01,80,17
100,0.01,80,5
101,0.01,80,41
101,0.01,80,5
101,0.01,80,5
101,0.01,80,11
101,0.01,80,11
102,0.01,81,5
102,0.01,81,5
102,0.01,81,5
102,0.01,81,5
102,0.01,81,17
103,0.01,82,11
103,0.01,82,317
103,0.01,82,5
103,0.01,82,5
103,0.01,82,11
104,0.01,83,11
104,0.01,83,5
104,0.01,83,173
104,0.01,83,17
104,0.01,83,17
105,0.01,84,11
105,0.01,84,11
105,0.01,84,131
105,0.01,84,5
105,0.01,84,11
106,0.01,84,95
106,0.01,84,17
106,0.01,84,11
106,0.01,84,17
106,0.01,84,5
107,0.01,85,5
107,0.01,85,11
107,0.01,85,179
107,0.01,85,11
107,0.01,85,5
108,0.01,86,119
108,0.01,86,5
108,0.01,86,221
108,0.01,86,299
108,0.01,86,11
109,0.01,87,5
109,0.01,87,5
109,0.01,87,5
109,0.01,87,5
109,0.01,87,29
110,0.01,88,17
110,0.01,88,5
110,0.01,88,5
110,0.01,88,5
110,0.01,88,329
111,0.01,88,89
111,0.01,88,5
111,0.01,88,5
111,0.01,88,5
111,0.01,88,5
112,0.01,89,35
112,0.01,89,257
112,0.01,89,275
112,0.01,89,101
112,0.01,89,5
113,0.01,90,35
113,0.01,90,107
113,0.01,90,5
113,0.01,90,5
113,0.01,90,5
114,0.01,91,65
114,0.01,91,359
114,0.01,91,113
114,0.01,91,17
114,0.01,91,29
115,0.01,92,11
115,0.01,92,47
115,0.01,92,17
115,0.01,92,17
115,0.01,92,11
116,0.01,92,5
116,0.01,92,5
116,0.01,92,5
116,0.01,92,35
116,0.01,92,17
117,0.01,93,5
117,0.01,93,11
117,0.01,93,179
117,0.01,93,5
117,0.01,93,11
118,0.01,94,11
118,0.01,94,5
118,0.01,94,5
118,0.01,94,11
118,0.01,94,17
119,0.01,95,11
119,0.01,95,5
119,0.01,95,11
119,0.01,95,23
119,0.01,95,17
120,0.01,96,5
120,0.01,96,17
120,0.01,96,257
120,0.01,96,5
120,0.01,96,5
121,0.01,96,23
121,0.01,96,185
121,0.01,96,107
121,0.01,96,179
121,0.01,96,5
122,0.01,97,29
122,0.01,97,29
122,0.01,97,5
122,0.01,97,29
122,0.01,97,11
123,0.01,98,311
123,0.01,98,317
123,0.01,98,5
123,0.01,98,29
123,0.01,98,89
124,0.01,99,35
124,0.01,99,347
124,0.01,99,5
124,0.01,99,5
124,0.01,99,359
125,0.01,100,71
125,0.01,100,11
125,0.01,100,5
125,0.01,100,59
125,0.01,100,5
126,0.01,100,53
126,0.01,100,299
126,0.01,100,5
126,0.01,100,389
126,0.01,100,335
127,0.01,101,5
127,0.01,101,17
127,0.01,101,155
127,0.01,101,5
127,0.01,101,311
128,0.01,102,17
128,0.01,102,407
128,0.01,102,35
128,0.01,102,29
128,0.01,102,23
129,0.01,103,11
129,0.01,103,497
129,0.01,103,71
129,0.01,103,47
129,0.01,103,17
130,0.01,104,371
130,0.01,104,341
130,0.01,104,161
130,0.01,104,515
130,0.01,104,107
131,0.01,104,311
131,0.01,104,5
131,0.01,104,29
131,0.01,104,431
131,0.01,104,227
132,0.01,105,389
132,0.01,105,5
132,0.01,105,155
132,0.01,105,17
132,0.01,105,95
133,0.01,106,515
133,0.01,106,5
133,0.01,106,11
133,0.01,106,17
133,0.01,106,11
134,0.01,107,11
134,0.01,107,221
134,0.01,107,17
134,0.01,107,5
134,0.01,107,425
135,0.01,108,71
135,0.01,108,11
135,0.01,108,575
135,0.01,108,113
135,0.01,108,545
136,0.01,108,443
136,0.01,108,35
136,0.01,108,5
136,0.01,108,5
136,0.01,108,5
137,0.01,109,623
137,0.01,109,515
137,0.01,109,11
137,0.01,109,11
137,0.01,109,5
138,0.01,110,17
138,0.01,110,11
138,0.01,110,11
138,0.01,110,17
138,0.01,110,71
139,0.01,111,59
139,0.01,111,461
139,0.01,111,5
139,0.01,111,449
139,0.01,111,131
140,0.01,112,527
140,0.01,112,17
140,0.01,112,503
140,0.01,112,11
140,0.01,112,17
141,0.01,112,125
141,0.01,112,221
141,0.01,112,5
141,0.01,112,5
141,0.01,112,17
142,0.01,113,5
142,0.01,113,509
142,0.01,113,491
142,0.01,113,5
142,0.01,113,11
143,0.01,114,347
143,0.01,114,5
143,0.01,114,521
143,0.01,114,305
143,0.01,114,437
144,0.01,115,5
144,0.01,115,11
144,0.01,115,569
144,0.01,115,419
144,0.01,115,35
145,0.01,116,497
145,0.01,116,599
145,0.01,116,5
145,0.01,116,5
145,0.01,116,545
146,0.01,116,65
146,0.01,116,11
146,0.01,116,647
146,0.01,116,371
146,0.01,116,575
147,0.01,117,11
