nodes,p,agents,rounds
10,0.3,8,41
10,0.3,8,38
10,0.3,8,38
10,0.3,8,38
10,0.3,8,38
11,0.3,8,5
11,0.3,8,44
11,0.3,8,35
11,0.3,8,38
11,0.3,8,44
12,0.3,9,47
12,0.3,9,38
12,0.3,9,44
12,0.3,9,47
12,0.3,9,47
13,0.3,10,47
13,0.3,10,50
13,0.3,10,53
13,0.3,10,53
13,0.3,10,47
14,0.3,11,47
14,0.3,11,56
14,0.3,11,59
14,0.3,11,50
14,0.3,11,50
15,0.3,12,56
15,0.3,12,50
15,0.3,12,59
15,0.3,12,56
15,0.3,12,56
16,0.3,12,65
16,0.3,12,62
16,0.3,12,65
16,0.3,12,59
16,0.3,12,59
17,0.3,13,68
17,0.3,13,65
17,0.3,13,68
17,0.3,13,68
17,0.3,13,65
18,0.3,14,71
18,0.3,14,68
18,0.3,14,74
18,0.3,14,71
18,0.3,14,71
19,0.3,15,74
19,0.3,15,71
19,0.3,15,71
19,0.3,15,74
19,0.3,15,74
20,0.3,16,80
20,0.3,16,80
20,0.3,16,80
20,0.3,16,77
20,0.3,16,80
21,0.3,16,83
21,0.3,16,83
21,0.3,16,80
21,0.3,16,80
21,0.3,16,80
22,0.3,17,80
22,0.3,17,83
22,0.3,17,86
22,0.3,17,86
22,0.3,17,86
23,0.3,18,86
23,0.3,18,89
23,0.3,18,89
23,0.3,18,86
23,0.3,18,83
24,0.3,19,92
24,0.3,19,95
24,0.3,19,95
24,0.3,19,92
24,0.3,19,92
25,0.3,20,89
25,0.3,20,98
25,0.3,20,98
25,0.3,20,95
25,0.3,20,98
26,0.3,20,95
26,0.3,20,95
26,0.3,20,101
26,0.3,20,101
26,0.3,20,101
27,0.3,21,104
27,0.3,21,104
27,0.3,21,104
27,0.3,21,104
27,0.3,21,98
28,0.3,22,110
28,0.3,22,107
28,0.3,22,107
28,0.3,22,110
28,0.3,22,104
29,0.3,23,113
29,0.3,23,113
29,0.3,23,113
29,0.3,23,113
29,0.3,23,113
30,0.3,24,116
30,0.3,24,116
30,0.3,24,116
30,0.3,24,113
30,0.3,24,116
31,0.3,24,119
31,0.3,24,119
31,0.3,24,119
31,0.3,24,116
31,0.3,24,119
32,0.3,25,122
32,0.3,25,125
32,0.3,25,122
32,0.3,25,125
32,0.3,25,125
33,0.3,26,128
33,0.3,26,128
33,0.3,26,128
33,0.3,26,119
33,0.3,26,128
34,0.3,27,131
34,0.3,27,131
34,0.3,27,131
34,0.3,27,131
34,0.3,27,131
35,0.3,28,137
35,0.3,28,137
35,0.3,28,137
35,0.3,28,134
35,0.3,28,137
36,0.3,28,140
36,0.3,28,140
36,0.3,28,140
36,0.3,28,140
36,0.3,28,140
37,0.3,29,143
37,0.3,29,140
37,0.3,29,143
37,0.3,29,143
37,0.3,29,143
38,0.3,30,146
38,0.3,30,146
38,0.3,30,146
38,0.3,30,146
38,0.3,30,146
39,0.3,31,149
39,0.3,31,152
39,0.3,31,152
39,0.3,31,152
39,0.3,31,152
40,0.3,32,152
40,0.3,32,152
40,0.3,32,155
40,0.3,32,155
40,0.3,32,149
41,0.3,32,158
41,0.3,32,158
41,0.3,32,158
41,0.3,32,158
41,0.3,32,158
42,0.3,33,158
42,0.3,33,161
42,0.3,33,161
42,0.3,33,161
42,0.3,33,161
43,0.3,34,167
43,0.3,34,161
43,0.3,34,167
43,0.3,34,167
43,0.3,34,167
44,0.3,35,170
44,0.3,35,170
44,0.3,35,170
44,0.3,35,170
44,0.3,35,170
45,0.3,36,173
45,0.3,36,173
45,0.3,36,173
45,0.3,36,173
45,0.3,36,170
46,0.3,36,176
46,0.3,36,176
46,0.3,36,176
46,0.3,36,176
46,0.3,36,176
47,0.3,37,182
47,0.3,37,182
47,0.3,37,182
47,0.3,37,182
47,0.3,37,182
48,0.3,38,185
48,0.3,38,185
48,0.3,38,185
48,0.3,38,185
48,0.3,38,185
49,0.3,39,188
49,0.3,39,188
49,0.3,39,185
49,0.3,39,188
49,0.3,39,188
50,0.3,40,194
50,0.3,40,194
50,0.3,40,194
50,0.3,40,194
50,0.3,40,194
51,0.3,40,197
51,0.3,40,197
51,0.3,40,197
51,0.3,40,197
51,0.3,40,197
52,0.3,41,200
52,0.3,41,200
52,0.3,41,200
52,0.3,41,200
52,0.3,41,200
53,0.3,42,203
53,0.3,42,203
53,0.3,42,203
53,0.3,42,203
53,0.3,42,203
54,0.3,43,209
54,0.3,43,209
54,0.3,43,209
54,0.3,43,209
54,0.3,43,209
55,0.3,44,212
55,0.3,44,212
55,0.3,44,212
55,0.3,44,212
55,0.3,44,212
56,0.3,44,215
56,0.3,44,215
56,0.3,44,215
56,0.3,44,215
56,0.3,44,215
57,0.3,45,218
57,0.3,45,215
57,0.3,45,218
57,0.3,45,218
57,0.3,45,218
58,0.3,46,224
58,0.3,46,224
58,0.3,46,224
58,0.3,46,224
58,0.3,46,224
59,0.3,47,227
59,0.3,47,227
59,0.3,47,227
59,0.3,47,227
59,0.3,47,227
60,0.3,48,230
60,0.3,48,230
60,0.3,48,230
60,0.3,48,230
60,0.3,48,230
61,0.3,48,230
61,0.3,48,230
61,0.3,48,233
61,0.3,48,233
61,0.3,48,233
62,0.3,49,236
62,0.3,49,239
62,0.3,49,239
62,0.3,49,239
62,0.3,49,239
63,0.3,50,242
63,0.3,50,242
63,0.3,50,242
63,0.3,50,242
63,0.3,50,242
64,0.3,51,245
64,0.3,51,245
64,0.3,51,245
64,0.3,51,245
64,0.3,51,245
65,0.3,52,251
65,0.3,52,251
65,0.3,52,251
65,0.3,52,251
65,0.3,52,251
66,0.3,52,254
66,0.3,52,254
66,0.3,52,254
66,0.3,52,254
66,0.3,52,254
67,0.3,53,257
67,0.3,53,257
67,0.3,53,257
67,0.3,53,257
67,0.3,53,257
68,0.3,54,260
68,0.3,54,260
68,0.3,54,260
68,0.3,54,260
68,0.3,54,260
69,0.3,55,266
69,0.3,55,266
